"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"8:16:14.4778228 PM","Explorer.EXE","1432","RegCreateKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\000000000000b156","SUCCESS","Desired Access: Query Value"
"8:16:14.4811719 PM","Explorer.EXE","1432","RegCreateKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartPage","SUCCESS","Desired Access: Read/Write"
"8:16:14.4812419 PM","Explorer.EXE","1432","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartPage\ProgramsCache","SUCCESS","Type: REG_BINARY, Length: 82,691, Data: 09 00 00 00 0B 00 56 00 00 00 54 00 31 00 00 00"
"8:16:14.4871294 PM","Explorer.EXE","1432","RegCreateKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","Desired Access: Maximum Allowed"
"8:16:14.4871645 PM","Explorer.EXE","1432","RegCreateKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","Desired Access: Maximum Allowed"
"8:16:14.5027401 PM","Explorer.EXE","1432","RegCreateKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\000000000000b156","SUCCESS","Desired Access: Query Value"
"8:16:14.5220191 PM","Explorer.EXE","1432","RegCreateKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","Desired Access: Maximum Allowed"
"8:16:14.5997364 PM","Explorer.EXE","1432","RegCreateKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\000000000000b156","SUCCESS","Desired Access: Query Value"
"8:16:14.6045777 PM","Explorer.EXE","1432","RegCreateKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\000000000000b156","SUCCESS","Desired Access: Query Value"
"8:16:15.6081004 PM","Explorer.EXE","1432","RegSetValue","HKCU\Software\Microsoft\Windows\ShellNoRoam\MUICache\C:\Documents and Settings\Administrator\Desktop\hehda.exe","SUCCESS","Type: REG_SZ, Length: 12, Data: hehda"
"8:16:15.6369170 PM","Explorer.EXE","1432","Process Create","C:\Documents and Settings\Administrator\Desktop\hehda.exe","SUCCESS","PID: 2520, Command line: ""C:\Documents and Settings\Administrator\Desktop\hehda.exe"" "
"8:16:15.6369417 PM","hehda.exe","2520","Process Start","","SUCCESS","Parent PID: 1432"
"8:16:19.1398095 PM","hehda.exe","2520","RegCreateKey","HKLM\SOFTWARE\Microsoft\Cryptography\RNG","SUCCESS","Desired Access: Set Value"
"8:16:19.1628300 PM","hehda.exe","2520","RegCreateKey","HKLM\SOFTWARE\Microsoft\Cryptography\RNG","SUCCESS","Desired Access: Set Value"
"8:16:19.1629483 PM","hehda.exe","2520","RegCreateKey","HKLM\SOFTWARE\Microsoft\Cryptography\RNG","SUCCESS","Desired Access: Set Value"
"8:16:19.1630304 PM","hehda.exe","2520","RegCreateKey","HKLM\SOFTWARE\Microsoft\Cryptography\RNG","SUCCESS","Desired Access: Set Value"
"8:16:19.1631042 PM","hehda.exe","2520","RegCreateKey","HKLM\SOFTWARE\Microsoft\Cryptography\RNG","SUCCESS","Desired Access: Set Value"
"8:16:19.1631821 PM","hehda.exe","2520","RegCreateKey","HKLM\SOFTWARE\Microsoft\Cryptography\RNG","SUCCESS","Desired Access: Set Value"
"8:16:19.1632530 PM","hehda.exe","2520","RegCreateKey","HKLM\SOFTWARE\Microsoft\Cryptography\RNG","SUCCESS","Desired Access: Set Value"
"8:16:19.1634674 PM","hehda.exe","2520","RegCreateKey","HKLM\SOFTWARE\Microsoft\Cryptography\RNG","SUCCESS","Desired Access: Set Value"
"8:16:19.2066062 PM","hehda.exe","2520","UDP Send","VM-XP-Test.home:1225 -> google-public-dns-a.google.com:domain","SUCCESS","Length: 31"
"8:16:19.2279930 PM","hehda.exe","2520","UDP Receive","VM-XP-Test.home:1225 -> google-public-dns-a.google.com:domain","SUCCESS","Length: 47"
"8:16:19.2364232 PM","hehda.exe","2520","QueryAttributeInformationVolume","C:\WINDOWS","BUFFER OVERFLOW","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, MaximumComponentNameLength: 255, FileSystemName: NT"
"8:16:19.2854450 PM","svchost.exe","1092","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read"
"8:16:19.3122755 PM","svchost.exe","1092","UDP Send","VM-XP-Test.home:1039 -> Verizon_router.home:domain","SUCCESS","Length: 38"
"8:16:19.3330564 PM","svchost.exe","1092","UDP Send","VM-XP-Test.home:1227 -> Verizon_router.home:domain","SUCCESS","Length: 42"
"8:16:19.3337199 PM","svchost.exe","1092","UDP Receive","VM-XP-Test.home:1039 -> Verizon_router.home:domain","SUCCESS","Length: 82"
"8:16:19.3381866 PM","svchost.exe","1092","UDP Receive","VM-XP-Test.home:1227 -> Verizon_router.home:domain","SUCCESS","Length: 75"
"8:16:19.3574826 PM","hehda.exe","2520","TCP Send","VM-XP-Test.home:1226 -> 50.22.196.70-static.reverse.softlayer.com:http","SUCCESS","Length: 70"
"8:16:19.3587682 PM","hehda.exe","2520","TCP Receive","VM-XP-Test.home:1226 -> 50.22.196.70-static.reverse.softlayer.com:http","SUCCESS","Length: 706"
